"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file66a54de85737"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"108"	107	-4125.14136721428	-4209.14678877516	-4125.14136721428	-84.0054215608776	-4125.14136721428	14.9992555077149	-89.7171039253678	0.256674311663301	0.457156613276071	5.71168236449019	14.9992555077149	0.163568410629128
"109"	108	-4123.04535402977	-4206.48593687683	-4123.04535402977	-83.440582847065	-4123.04535402977	14.9992555077149	-89.1522652115552	0.228870091962404	0.652346119091943	5.71168236449019	14.9992555077149	0.176762949784375
"110"	109	-4113.10356655902	-4192.14027518704	-4113.10356655902	-79.036708628021	-4113.10356655902	14.9992555077149	-84.7483909925112	0.141656221503794	0.742259970020335	5.71168236449019	14.9992555077149	0.20584370166643
"111"	110	-4109.01646835765	-4191.96686188074	-4109.01646835765	-82.9503935230928	-4109.01646835765	14.9992555077149	-88.662075887583	0.298983625521574	0.355271327208617	5.71168236449019	14.9992555077149	0.15630034500861
"112"	111	-4108.11178441713	-4193.01296622996	-4108.11178441713	-84.9011818128355	-4108.11178441713	14.9992555077149	-90.6128641773257	0.214641911421176	0.365666462885754	5.71168236449019	14.9992555077149	0.172554911463942
"113"	112	-4107.17880961641	-4188.72568691303	-4107.17880961641	-81.5468772966182	-4107.17880961641	14.9992555077149	-87.2585596611084	0.320829323709086	0.296052537682749	5.71168236449019	14.9992555077149	0.167654111456545
"114"	113	-4094.26103060009	-4178.98925151425	-4094.26103060009	-84.7282209141631	-4094.26103060009	14.9992555077149	-90.4399032786533	0.286932788057089	0.389102660912132	5.71168236449019	14.9992555077149	0.168940587533435
"115"	114	-4085.52079146114	-4170.95524064898	-4085.52079146114	-85.4344491878391	-4085.52079146114	14.9992555077149	-91.1461315523293	0.275334811450755	0.367905624149373	5.71168236449019	14.9992555077149	0.148035608615331
"116"	115	-4074.63911418356	-4160.7082806392	-4074.63911418356	-86.0691664556338	-4074.63911418356	14.9992555077149	-91.7808488201239	0.280538275446273	0.577547991743116	5.71168236449019	14.9992555077149	0.131303130017023
"117"	116	-4072.41910586744	-4157.52142471533	-4072.41910586744	-85.1023188478898	-4072.41910586744	14.9992555077149	-90.8140012123799	0.209457517898742	0.391552347768995	5.71168236449019	14.9992555077149	0.152762914554626
"118"	117	-4063.55758309999	-4151.79306666317	-4063.55758309999	-88.2354835631862	-4063.55758309999	14.9992555077149	-93.9471659276764	0.360751815755039	0.229655494270517	5.71168236449019	14.9992555077149	0.13995476944461
"119"	118	-4061.91200372545	-4151.53119862789	-4061.91200372545	-89.6191949024388	-4061.91200372545	14.9992555077149	-95.330877266929	0.32290691084568	0.0637421786755694	5.71168236449019	14.9992555077149	0.133185633264559
"120"	119	-4061.87805034126	-4150.04495827572	-4061.87805034126	-88.166907934468	-4061.87805034126	14.9992555077149	-93.8785902989582	0.270098704313992	0.191208872030898	5.71168236449019	14.9992555077149	0.118899060485339
"121"	120	-4060.97462291869	-4149.29879543314	-4060.97462291869	-88.3241725144499	-4060.97462291869	14.9992555077149	-94.0358548789401	0.241806687150007	0.455206698526373	5.71168236449019	14.9992555077149	0.142301990438227
"122"	121	-4058.21451109887	-4147.9187683247	-4058.21451109887	-89.7042572258247	-4058.21451109887	14.9992555077149	-95.4159395903149	0.323480570941753	0.114427753991863	5.71168236449019	14.9992555077149	0.12363048920162
